City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Amapa,BR,82.49,broken clouds,1.0,-52.0,
356,Dalbandin,PK,86.97,light rain,28.8947,64.4101,
357,Marawi,PH,70.36,overcast clouds,7.9986,124.2928,
360,La Seyne-Sur-Mer,FR,72.54,broken clouds,43.0982,5.8847,
364,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,
365,Ambilobe,MG,76.42,scattered clouds,-13.2,49.05,
366,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,
368,Amboasary,MG,70.02,light rain,-25.0333,46.3833,
371,Georgetown,MY,84.15,few clouds,5.4112,100.3354,
376,Bluefields,NI,78.87,broken clouds,12.0137,-83.7635,
378,Kentau,KZ,73.53,overcast clouds,43.5206,68.5094,
379,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,
382,Inongo,CD,77.29,broken clouds,-1.95,18.2667,
384,Esmeralda,CU,87.51,few clouds,21.8525,-78.1169,
385,Trinidad,BO,87.78,broken clouds,-14.8333,-64.9,
388,Salalah,OM,86.09,few clouds,17.0151,54.0924,
389,Bac Lieu,VN,83.53,overcast clouds,9.285,105.7244,
393,Fare,PF,80.11,scattered clouds,-16.7,-151.0167,
394,Salinopolis,BR,81.68,moderate rain,-0.6136,-47.3561,
395,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,
396,Jibuti,DJ,82.71,few clouds,11.5,42.5,
398,Madison,US,74.82,broken clouds,34.7334,-86.5667,
399,Sao Joao Do Paraiso,BR,86.34,clear sky,-15.3136,-42.0144,
400,Vung Tau,VN,82.85,overcast clouds,10.346,107.0843,
402,Hobyo,SO,85.75,light rain,5.3505,48.5268,
405,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,
407,Mogadishu,SO,83.77,light rain,2.0371,45.3438,
411,Ixtapa,MX,72.63,clear sky,20.7,-105.2,
416,Itarema,BR,85.23,overcast clouds,-2.9248,-39.9167,
418,Pemba,MZ,81.3,few clouds,-12.974,40.5178,
420,Biak,ID,77.0,overcast clouds,-0.9131,122.8766,
421,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,
423,Fonte Boa,BR,73.15,moderate rain,-2.4959,-66.2662,
425,Qui Nhon,VN,77.38,overcast clouds,13.7667,109.2333,
426,Marsh Harbour,BS,75.16,scattered clouds,26.5412,-77.0636,
429,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,
432,Padang,ID,75.25,moderate rain,-0.9492,100.3543,
433,Sao Jose Da Coroa Grande,BR,82.49,scattered clouds,-8.8978,-35.1478,
434,San Policarpo,PH,80.28,overcast clouds,12.1791,125.5072,
435,Cajati,BR,88.05,clear sky,-24.7361,-48.1228,
436,Bonthe,SL,86.95,broken clouds,7.5264,-12.505,
439,Kismayo,SO,82.58,broken clouds,-0.3582,42.5454,
445,Nouadhibou,MR,75.18,dust,20.931,-17.0347,
449,Jawhar,SO,81.48,overcast clouds,2.7809,45.5005,
450,Paragominas,BR,82.36,broken clouds,-2.9667,-47.4833,
451,Ilhabela,BR,76.08,overcast clouds,-23.7781,-45.3581,
459,Lorengau,PG,81.37,clear sky,-2.0226,147.2712,
461,Coachella,US,81.61,clear sky,33.6803,-116.1739,
463,Samarkand,UZ,78.22,overcast clouds,39.6542,66.9597,
464,Kiunga,PG,73.74,broken clouds,-6.1219,141.2906,
465,Namibe,AO,76.03,clear sky,-15.1961,12.1522,
467,Mumford,GH,84.09,broken clouds,5.2618,-0.759,
470,Kisangani,CD,80.31,overcast clouds,0.5167,25.2,
472,Karratha,AU,82.58,light rain,-20.7377,116.8463,
475,Cristalina,BR,78.85,clear sky,-16.7686,-47.6136,
476,Rincon,US,79.86,scattered clouds,32.296,-81.2354,
484,Eyl,SO,85.3,overcast clouds,7.9803,49.8164,
486,Paradise,US,75.9,clear sky,36.0972,-115.1467,
487,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,
490,Finschhafen,PG,78.85,light rain,-6.6024,147.8681,
491,Humaita,BR,86.85,scattered clouds,-7.5061,-63.0208,
492,Imbituba,BR,71.82,scattered clouds,-28.24,-48.6703,
495,Sembakung,ID,74.61,broken clouds,3.8167,117.25,
496,Sinnamary,GF,82.94,scattered clouds,5.3833,-52.95,
497,Caetite,BR,81.16,clear sky,-14.0694,-42.475,
502,Lodja,CD,70.56,overcast clouds,-3.4833,23.4333,
504,Angoche,MZ,77.32,few clouds,-16.2325,39.9086,
507,Puerto Ayacucho,VE,83.97,broken clouds,5.6639,-67.6236,
510,Bucerias,MX,73.38,clear sky,20.75,-105.3333,
511,Kifri,IQ,81.91,broken clouds,34.6959,44.9661,
513,Tomatlan,MX,86.14,overcast clouds,19.9333,-105.25,
515,Teknaf,BD,78.76,clear sky,20.8624,92.3058,
516,Port Keats,AU,78.49,few clouds,-14.25,129.55,
523,Daru,PG,79.79,overcast clouds,-9.0763,143.2092,
524,Porto Novo,BJ,87.62,overcast clouds,6.4965,2.6036,
525,Monrovia,LR,84.29,overcast clouds,6.3005,-10.7969,
527,Maryville,US,71.08,scattered clouds,35.7565,-83.9705,
531,Guapi,CO,79.3,moderate rain,2.5708,-77.8854,
536,Lamu,KE,80.78,light rain,-2.2717,40.902,
537,Paracuru,BR,87.12,scattered clouds,-3.41,-39.0306,
538,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,
539,Beyneu,KZ,73.62,few clouds,45.3167,55.2,
542,Coahuayana,MX,86.36,overcast clouds,18.7333,-103.6833,
544,Cabaiguan,CU,86.49,light rain,22.0789,-79.4992,
546,Laem Sing,TH,83.14,overcast clouds,12.4816,102.0738,
547,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,
549,Wanning,CN,71.06,overcast clouds,18.8003,110.3967,
550,Grand Baie,MU,77.47,clear sky,-20.0182,57.5802,
551,Meulaboh,ID,78.1,overcast clouds,4.1363,96.1285,
557,San Vicente,AR,71.89,overcast clouds,-26.6167,-54.1333,
560,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,
566,Tefe,BR,84.31,broken clouds,-3.3542,-64.7114,
569,Nueva Guinea,NI,84.87,overcast clouds,11.6876,-84.4562,
572,Kishi,NG,76.69,moderate rain,9.0833,3.85,
574,Satkhira,BD,77.5,overcast clouds,22.7167,89.1,
575,Vao,NC,75.25,few clouds,-22.6667,167.4833,
582,Faya,SA,72.12,light rain,18.3851,42.4509,
585,Sijunjung,ID,73.92,overcast clouds,-0.6876,100.9537,
586,Porbandar,IN,84.81,clear sky,21.6422,69.6093,
587,Menongue,AO,70.74,few clouds,-14.6585,17.691,
589,La Estancia,MX,74.48,broken clouds,20.4167,-100.0667,
592,Arcachon,FR,70.41,clear sky,44.5875,-1.0519,
594,Guane,CU,87.17,clear sky,22.2025,-84.0875,
596,Tingo Maria,PE,83.35,scattered clouds,-9.2895,-76.0088,
600,Purwa,IN,89.62,clear sky,26.4667,80.7833,
605,Altos,BR,86.31,broken clouds,-5.0381,-42.46,
607,Inhambane,MZ,71.58,moderate rain,-23.865,35.3833,
610,Tevaitoa,PF,80.31,scattered clouds,-16.7833,-151.5,
611,Lebanon,US,73.83,broken clouds,36.2081,-86.2911,
612,Kuito,AO,75.34,broken clouds,-12.3833,16.9333,
615,The Valley,AI,81.1,overcast clouds,18.217,-63.0578,
616,Tura,IN,71.35,scattered clouds,25.5198,90.2201,
617,Upata,VE,84.2,clear sky,8.0086,-62.3989,
621,Castries,LC,86.13,scattered clouds,13.9957,-61.0061,
622,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,
623,Trincomalee,LK,84.65,overcast clouds,8.5711,81.2335,
625,Jilib,SO,78.26,moderate rain,0.4883,42.7854,
626,Dasoguz,TM,71.55,clear sky,41.8363,59.9666,
627,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,
628,Rambha,IN,81.57,moderate rain,19.5167,85.1,
631,Tezu,IN,72.46,overcast clouds,27.9167,96.1667,
633,Alyangula,AU,73.27,broken clouds,-13.8483,136.4192,
636,Makakilo City,US,71.92,light rain,21.3469,-158.0858,
637,Sakakah,SA,85.57,clear sky,29.9697,40.2064,
642,Cilegon,ID,79.12,heavy intensity rain,-6.0174,106.0538,
645,Huicungo,PE,84.47,scattered clouds,-7.2833,-76.8,
649,Urucara,BR,85.32,few clouds,-2.5364,-57.76,
650,Dumai,ID,76.1,overcast clouds,1.6833,101.45,
652,Bridgetown,BB,86.49,few clouds,13.1,-59.6167,
653,Morondava,MG,77.41,clear sky,-20.2833,44.2833,
654,New Port Richey,US,84.11,clear sky,28.2442,-82.7193,
656,Sampit,ID,77.0,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
