City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
416,Itarema,BR,-2.9248,-39.9167,85.23,66,94,12.57,overcast clouds
417,Oyama,JP,36.3,139.8,56.59,87,99,1.72,overcast clouds
418,Pemba,MZ,-12.974,40.5178,81.3,78,20,13.8,few clouds
419,Whitehorse,CA,60.7161,-135.0538,41.09,59,100,12.66,overcast clouds
420,Biak,ID,-0.9131,122.8766,77.0,87,86,5.59,overcast clouds
421,Cartagena,CO,10.3997,-75.5144,83.82,74,75,6.91,broken clouds
422,Ati,TD,13.2154,18.3353,105.51,14,63,6.87,broken clouds
423,Fonte Boa,BR,-2.4959,-66.2662,73.15,100,100,2.59,moderate rain
424,Preobrazheniye,RU,42.9019,133.9064,38.52,93,100,3.76,light rain
425,Qui Nhon,VN,13.7667,109.2333,77.38,95,100,3.62,overcast clouds
426,Marsh Harbour,BS,26.5412,-77.0636,75.16,73,39,16.89,scattered clouds
427,Viedma,AR,-40.8135,-62.9967,57.18,51,83,6.91,broken clouds
428,Ayan,RU,56.45,138.1667,27.72,89,19,3.33,few clouds
429,Cayenne,GF,4.9333,-52.3333,85.08,34,75,11.5,broken clouds
430,Tomaszow Lubelski,PL,50.4477,23.4162,57.67,63,95,6.02,overcast clouds
431,Karsava,LV,56.7841,27.6883,49.98,56,100,4.41,overcast clouds
432,Padang,ID,-0.9492,100.3543,75.25,87,97,2.51,moderate rain
433,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.49,72,42,12.01,scattered clouds
434,San Policarpo,PH,12.1791,125.5072,80.28,82,87,6.96,overcast clouds
435,Cajati,BR,-24.7361,-48.1228,88.05,46,1,3.04,clear sky
436,Bonthe,SL,7.5264,-12.505,86.95,64,72,12.53,broken clouds
437,Strezhevoy,RU,60.7333,77.5889,31.24,74,98,4.79,overcast clouds
438,Kupino,RU,54.3663,77.2981,54.61,62,100,14.36,overcast clouds
439,Kismayo,SO,-0.3582,42.5454,82.58,78,82,15.9,broken clouds
